4
H 0
X 0
H 0
X 0
H 1
X 1
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
X 1
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
X 0
X 1
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
X 1
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
X 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 1 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 0 0
CNOT 1 0
CNOT 0 0
CNOT 0 0
